phase,exposure_condition,batch_index,batch_size,start_example_index,end_example_index,elapsed_ms,gpu_synchronized_elapsed_ms
base_forward,base,151,16,2416,2431,138.43963004183024,135.41234302101657
base_forward,base,152,16,2432,2447,138.40145902941003,135.34799200715497
base_forward,base,153,16,2448,2463,138.20432103239,135.18811401445419
base_forward,base,154,16,2464,2479,138.14440194983035,135.11955499416217
base_forward,base,155,16,2480,2495,138.22055095806718,135.19320398336276
base_forward,base,156,16,2496,2511,138.17454100353643,135.04961499711499
base_forward,base,157,16,2512,2527,138.23626103112474,135.19815402105451
base_forward,base,158,16,2528,2543,138.35790997836739,135.31010301085189
base_forward,base,159,16,2544,2559,138.22466100100428,135.10231499094516
base_forward,base,160,16,2560,2575,138.39246996212751,135.13647502986714
base_forward,base,161,16,2576,2591,138.3044800022617,135.17831399803981
base_forward,base,162,16,2592,2607,138.31150002079085,135.3149630012922
base_forward,base,163,16,2608,2623,138.44099902780727,135.35504200262949
base_forward,base,164,16,2624,2639,138.42514000134543,135.32863301225007
base_forward,base,165,16,2640,2655,138.27398105058819,135.26712404564023
base_forward,base,166,16,2656,2671,138.43903900124133,135.38997300202027
base_forward,base,167,16,2672,2687,138.51106900256127,135.50518197007477
base_forward,base,168,16,2688,2703,138.53099901461974,135.48739301040769
base_forward,base,169,16,2704,2719,138.41042900457978,135.37888298742473
base_forward,base,170,16,2720,2735,138.44599900767207,135.36215299973264
base_forward,base,171,16,2736,2751,138.4877500240691,135.36115398164839
base_forward,base,172,16,2752,2767,138.56373802991584,135.57033101096749
base_forward,base,173,16,2768,2783,138.64940800704062,135.5553719913587
base_forward,base,174,16,2784,2799,138.38253996800631,135.36726305028424
base_forward,base,175,16,2800,2815,138.75300600193441,135.61805000063032
base_forward,base,176,16,2816,2831,138.60067899804562,135.5049519916065
base_forward,base,177,16,2832,2847,138.65621801232919,135.61898097395897
base_forward,base,178,16,2848,2863,138.60630796989426,135.58509101858363
base_forward,base,179,16,2864,2879,138.69548699585721,135.68237103754655
base_forward,base,180,16,2880,2895,138.72397795785218,135.71249099913985
base_forward,base,181,16,2896,2911,138.82910599932075,135.72637003380805
base_forward,base,182,16,2912,2927,138.6185180163011,135.59358101338148
base_forward,base,183,16,2928,2943,138.68129800539464,135.53788198623806
base_forward,base,184,16,2944,2959,138.67137703346089,135.65161102451384
base_forward,base,185,16,2960,2975,138.91137600876391,135.82433899864554
base_forward,base,186,16,2976,2991,138.75015801750124,135.6095319497399
base_forward,base,187,16,2992,3007,138.99033603956923,135.87151904357597
base_forward,base,188,16,3008,3023,138.81728699197993,135.78594999853522
base_forward,base,189,16,3024,3039,138.94614501623437,135.76335000107065
base_forward,base,190,16,3040,3055,139.05423501273617,135.96123800380155
base_forward,base,191,16,3056,3071,139.03644500533119,135.96308801788837
base_forward,base,192,16,3072,3087,139.09311400493607,136.02570700459182
base_forward,base,193,16,3088,3103,138.93598597496748,135.91350900242105
base_forward,base,194,16,3104,3119,138.85038695298135,135.84108999930322
base_forward,base,195,16,3120,3135,139.38632200006396,136.2869759905152
base_forward,base,196,16,3136,3151,138.98921600775793,135.97763900179416
base_forward,base,197,16,3152,3167,139.01865598745644,135.97030902747065
base_forward,base,198,16,3168,3183,139.11693397676572,136.07070804573596
base_forward,base,199,16,3184,3199,138.8992159627378,135.77736000297591
base_forward,base,200,16,3200,3215,138.91922601033002,135.87392895715311
base_forward,base,201,16,3216,3231,139.06069501535967,136.03475800482556
base_forward,base,202,16,3232,3247,139.25537298200652,136.18900702567771
base_forward,base,203,16,3248,3263,139.33201303007081,136.30886602913961
base_forward,base,204,16,3264,3279,139.38015303574502,136.35026599513367
base_forward,base,205,16,3280,3295,139.58761998219416,136.53692399384454
base_forward,base,206,16,3296,3311,139.44733201060444,136.4284050068818
base_forward,base,207,16,3312,3327,139.4428220228292,136.33735600160435
base_forward,base,208,16,3328,3343,139.31293302448466,136.18093699915335
base_forward,base,209,16,3344,3359,139.24815400969237,136.14176795817912
base_forward,base,210,16,3360,3375,139.22645302955061,136.10221701674163
base_forward,base,211,16,3376,3391,139.26597399404272,136.17525697918609
base_forward,base,212,16,3392,3407,139.17849399149418,136.17619697470218
base_forward,base,213,16,3408,3423,139.46891302475706,136.36818598024547
base_forward,base,214,16,3424,3439,139.39533196389675,136.25119597418234
base_forward,base,215,16,3440,3455,139.61859000846744,136.5741029730998
base_forward,base,216,16,3456,3471,139.67729103751481,136.58626400865614
base_forward,base,217,16,3472,3487,139.61408101022243,136.50709501234815
base_forward,base,218,16,3488,3503,139.62693099165335,136.5355440066196
base_forward,base,219,16,3504,3519,139.61101096356288,136.59557397477329
base_forward,base,220,16,3520,3535,139.61733097676188,136.49772497592494
base_forward,base,221,16,3536,3551,139.71138000488281,136.59972400637344
base_forward,base,222,16,3552,3567,139.52360098483041,136.48946402827278
