message_id,encryption_ms,scoring_ms,decryption_ms,end_to_end_ms
stage3_allow_routing_recommendation_c19_v08,4.621440020855516,26.32551797432825,2.6902469689957798,33.811612986028194
stage3_allow_routing_recommendation_c19_v09,4.599290026817471,26.133649982511997,2.70825601182878,33.62510399892926
stage3_allow_routing_recommendation_c19_v10,4.572089994326234,26.493066980037838,2.7477259864099324,33.993450982961804
stage3_allow_routing_recommendation_c20_v01,4.580439999699593,26.37552795931697,2.717356022913009,33.89233199413866
stage3_allow_routing_recommendation_c20_v02,4.6554189757443964,26.271888986229897,2.77296599233523,33.878942020237446
stage3_allow_routing_recommendation_c20_v03,4.6306889853440225,26.116860972251743,2.6299470337107778,33.64320396212861
stage3_allow_routing_recommendation_c20_v04,4.597569990437478,26.22391900513321,2.514447958674282,33.584335003979504
stage3_allow_routing_recommendation_c20_v05,4.571099998429418,26.32225799607113,2.8069360414519906,33.92600204097107
stage3_allow_routing_recommendation_c20_v06,4.603068984579295,26.249758957419544,2.8855049749836326,33.976560982409865
stage3_allow_routing_recommendation_c20_v07,4.571668978314847,26.39351796824485,2.7296359767206013,33.96610094932839
stage3_allow_routing_recommendation_c20_v08,4.564060014672577,28.27733103185892,2.6567369932308793,35.76570498989895
stage3_allow_routing_recommendation_c20_v09,4.591090022586286,26.469956967048347,2.742636017501354,34.05452100560069
stage3_allow_routing_recommendation_c20_v10,4.602529981639236,26.241699000820518,2.6301569887436926,33.74609298771247
stage3_allow_risk_summary_c18_v01,4.597450024448335,26.399687980301678,2.7914950042031705,34.03070103377104
stage3_allow_risk_summary_c18_v02,4.597759980242699,26.248909009154886,2.6409170241095126,33.74828299274668
stage3_allow_risk_summary_c18_v03,4.5568099594675004,26.500447012949735,2.684956998564303,34.00458098622039
stage3_allow_risk_summary_c18_v04,4.618499951902777,26.794473989866674,2.6684359763748944,34.337348013650626
stage3_allow_risk_summary_c18_v05,5.36525301868096,27.511288004461676,2.750545972958207,35.91477399459109
stage3_allow_risk_summary_c18_v06,4.683048988226801,26.54712600633502,2.9140549595467746,34.42676697159186
stage3_allow_risk_summary_c18_v07,4.572779987938702,26.379588001873344,2.7551260427571833,33.93740201136097
stage3_allow_risk_summary_c18_v08,4.616618971340358,26.475357997696847,3.207760979421437,34.57031602738425
stage3_allow_risk_summary_c18_v09,4.603929002769291,26.437328022439033,2.608957001939416,33.918472006917
stage3_allow_risk_summary_c18_v10,4.5628700172528625,27.200360025744885,2.9884440009482205,35.06004100199789
stage3_allow_risk_summary_c19_v01,4.816558037418872,26.798633974976838,2.5900769978761673,34.4690170022659
stage3_allow_risk_summary_c19_v02,4.6535590081475675,26.44819801207632,2.699935983400792,34.08175095682964
stage3_allow_risk_summary_c19_v03,4.614058998413384,26.192229997832328,2.7244260418228805,33.70998299214989
stage3_allow_risk_summary_c19_v04,4.599670006427914,26.53721597744152,2.7650559786707163,34.106680017430335
stage3_allow_risk_summary_c19_v05,4.573729995172471,26.39912796439603,2.7479060227051377,33.916761982254684
stage3_allow_risk_summary_c19_v06,4.571900004521012,26.398947986308485,2.602788037620485,33.792342990636826
stage3_allow_risk_summary_c19_v07,4.626239009667188,26.428718003444374,2.456988033372909,33.72772299917415
stage3_allow_risk_summary_c19_v08,4.627579008229077,26.1812400422059,2.6728970115073025,33.69957394897938
stage3_allow_risk_summary_c19_v09,4.609138995874673,26.20044001378119,2.754585992079228,33.78125303424895
stage3_allow_risk_summary_c19_v10,4.6038589789532125,26.34274901356548,2.746205951552838,33.94926100736484
stage3_allow_risk_summary_c20_v01,4.593989986460656,26.29332902142778,2.7608650270849466,33.893092011567205
stage3_allow_risk_summary_c20_v02,4.585620015859604,26.147800032049417,2.794225001707673,33.795412979088724
stage3_allow_risk_summary_c20_v03,4.642468993552029,26.216419995762408,2.7531450032256544,33.858701994176954
stage3_allow_risk_summary_c20_v04,4.584780021104962,26.499867031816393,2.719676005654037,34.05595099320635
stage3_allow_risk_summary_c20_v05,4.577489977236837,26.245758985169232,2.8258850215934217,33.8273819652386
stage3_allow_risk_summary_c20_v06,4.564590053632855,26.190129981841892,2.7964950422756374,33.7931530084461
stage3_allow_risk_summary_c20_v07,4.5484500005841255,26.277839031536132,2.757715992629528,33.85740198427811
stage3_allow_risk_summary_c20_v08,4.543169983662665,26.5039469813928,2.622088009957224,33.86825299821794
stage3_allow_risk_summary_c20_v09,4.579478991217911,26.363577984739095,2.57978803711012,33.76133303390816
stage3_allow_risk_summary_c20_v10,4.632468975614756,26.211399992462248,2.648246008902788,33.754922973457724
stage3_allow_mismatch_explanation_c18_v01,4.61696001002565,27.552927029319108,2.7119559817947447,35.081362002529204
stage3_allow_mismatch_explanation_c18_v02,4.5859290403313935,26.49743703659624,2.783945994451642,34.13640899816528
stage3_allow_mismatch_explanation_c18_v03,4.595189995598048,26.359338022302836,2.624736982397735,33.84893300244585
stage3_allow_mismatch_explanation_c18_v04,4.601259017363191,26.226829970255494,2.6480559608899057,33.72650302480906
stage3_allow_mismatch_explanation_c18_v05,4.576449980959296,26.15290996618569,2.7099159779027104,33.705914043821394
stage3_allow_mismatch_explanation_c18_v06,4.574728955049068,26.17980004288256,2.454178989864886,33.44412596197799
stage3_allow_mismatch_explanation_c18_v07,4.601559019647539,26.29169903229922,2.9846139950677752,34.099409996997565
stage3_allow_mismatch_explanation_c18_v08,4.599059000611305,26.13950101658702,2.656815981026739,33.669334021396935
stage3_allow_mismatch_explanation_c18_v09,4.598468949552625,26.42514801118523,2.528377983253449,33.805223007220775
stage3_allow_mismatch_explanation_c18_v10,4.613949044141918,26.307489024475217,2.705985971260816,33.86002196930349
stage3_allow_mismatch_explanation_c19_v01,4.589140007738024,26.205128990113735,2.722736040595919,33.74956303741783
stage3_allow_mismatch_explanation_c19_v02,4.597980005200952,26.510916999541223,2.686945954337716,34.058941004332155
stage3_allow_mismatch_explanation_c19_v03,4.619739018380642,26.25854901270941,2.457998984027654,33.550004998687655
stage3_allow_mismatch_explanation_c19_v04,4.592828976456076,26.287969027180225,2.7274159947410226,33.879851980600506
stage3_allow_mismatch_explanation_c19_v05,4.549450008198619,26.182529982179403,2.8171850135549903,33.721234009135514
stage3_allow_mismatch_explanation_c19_v06,4.603668989147991,25.981841958127916,2.7294959872961044,33.55060500325635
stage3_allow_mismatch_explanation_c19_v07,4.579528991598636,26.308308995794505,2.653646981343627,33.82403199793771
stage3_allow_mismatch_explanation_c19_v08,4.568199976347387,26.632575958501548,2.7116459677927196,34.18324998347089
stage3_allow_mismatch_explanation_c19_v09,4.589939024299383,26.344779005739838,3.1058319727890193,34.25099898595363
stage3_allow_mismatch_explanation_c19_v10,4.595629987306893,26.577515993267298,2.7089659706689417,34.14743999019265
stage3_allow_mismatch_explanation_c20_v01,4.620098974555731,26.170540018938482,2.6243870379403234,33.6647640215233
stage3_allow_mismatch_explanation_c20_v02,4.562380025163293,26.045751001220196,3.3060910063795745,34.153229964431375
stage3_allow_mismatch_explanation_c20_v03,4.574090009555221,26.345447986386716,2.801855036523193,33.97766099078581
stage3_allow_mismatch_explanation_c20_v04,4.648319038096815,26.38576802564785,2.6145069859921932,33.915292005985975
stage3_allow_mismatch_explanation_c20_v05,4.601059015840292,26.138961024116725,2.9350740369409323,33.92007201910019
stage3_allow_mismatch_explanation_c20_v06,4.550160025246441,26.11477003665641,2.7485759928822517,33.694723970256746
