eval_id,record_id,split,is_member,is_canary,exposure_condition,run_name,loss_base,loss_ft,membership_score
mia_REC-000050,REC-000050,member,1,0,10x,official-10x-20260411-r1,3.0603077411651611,0.30378180742263794,10.074032303414052
mia_REC-000051,REC-000051,member,1,0,10x,official-10x-20260411-r1,3.0834949016571045,0.32012668251991272,9.6321083809229275
mia_REC-000052,REC-000052,member,1,0,10x,official-10x-20260411-r1,3.093019962310791,0.32583329081535339,9.4926456243035524
mia_REC-000053,REC-000053,non_member,0,0,10x,official-10x-20260411-r1,3.0519843101501465,0.32991915941238403,9.2507034619814359
mia_REC-000054,REC-000054,non_member,0,0,10x,official-10x-20260411-r1,3.1021044254302979,0.32780629396438599,9.4632241129797254
mia_REC-000055,REC-000055,member,1,0,10x,official-10x-20260411-r1,3.0896663665771484,0.31122776865959167,9.9273479994534171
mia_REC-000056,REC-000056,non_member,0,0,10x,official-10x-20260411-r1,3.0689582824707031,0.30866041779518127,9.9428307147150345
mia_REC-000057,REC-000057,member,1,0,10x,official-10x-20260411-r1,3.0704052448272705,0.31638702750205994,9.704586401878565
mia_REC-000058,REC-000058,member,1,0,10x,official-10x-20260411-r1,3.0787007808685303,0.31739139556884766,9.7000133710326342
mia_REC-000059,REC-000059,member,1,0,10x,official-10x-20260411-r1,3.1141488552093506,0.33302563428878784,9.3510785194057249
mia_REC-000060,REC-000060,member,1,0,10x,official-10x-20260411-r1,3.0913052558898926,0.3088916540145874,10.007733183182429
mia_REC-000061,REC-000061,member,1,0,10x,official-10x-20260411-r1,3.0872108936309814,0.31878352165222168,9.684349045491091
mia_REC-000062,REC-000062,non_member,0,0,10x,official-10x-20260411-r1,3.0648553371429443,0.31296241283416748,9.7930461022070077
mia_REC-000063,REC-000063,non_member,0,0,10x,official-10x-20260411-r1,3.0674443244934082,0.32768133282661438,9.3610591059103179
mia_REC-000064,REC-000064,member,1,0,10x,official-10x-20260411-r1,3.0587563514709473,0.30832844972610474,9.9204479968945805
mia_REC-000065,REC-000065,non_member,0,0,10x,official-10x-20260411-r1,3.1241750717163086,0.33168283104896545,9.4191642715902137
mia_REC-000066,REC-000066,non_member,0,0,10x,official-10x-20260411-r1,3.0943467617034912,0.31005561351776123,9.9799733557355328
mia_REC-000067,REC-000067,non_member,0,0,10x,official-10x-20260411-r1,3.0950429439544678,0.3227827250957489,9.5886263524058393
mia_REC-000068,REC-000068,member,1,0,10x,official-10x-20260411-r1,3.0700933933258057,0.30690637230873108,10.003354997912716
mia_REC-000069,REC-000069,member,1,0,10x,official-10x-20260411-r1,3.084308385848999,0.30873721837997437,9.9900763569522937
mia_REC-000070,REC-000070,member,1,0,10x,official-10x-20260411-r1,3.0917296409606934,0.33312386274337769,9.2810212258567937
mia_REC-000071,REC-000071,member,1,0,10x,official-10x-20260411-r1,3.0352263450622559,0.31958365440368652,9.4974392564779535
mia_REC-000072,REC-000072,member,1,0,10x,official-10x-20260411-r1,3.0939362049102783,0.31240060925483704,9.9037457458555629
mia_REC-000073,REC-000073,member,1,0,10x,official-10x-20260411-r1,3.0803437232971191,0.31636324524879456,9.7367307029445644
mia_REC-000074,REC-000074,member,1,0,10x,official-10x-20260411-r1,3.065293550491333,0.31738805770874023,9.6578729918826465
mia_REC-000075,REC-000075,member,1,0,10x,official-10x-20260411-r1,3.0928783416748047,0.31682637333869934,9.7620608697508935
mia_REC-000076,REC-000076,member,1,0,10x,official-10x-20260411-r1,3.0701467990875244,0.3148060142993927,9.7525036359937385
mia_REC-000077,REC-000077,member,1,0,10x,official-10x-20260411-r1,3.1054501533508301,0.33390742540359497,9.3003327182594475
mia_REC-000078,REC-000078,non_member,0,0,10x,official-10x-20260411-r1,3.0992202758789062,0.33108443021774292,9.3608155292613873
mia_REC-000079,REC-000079,member,1,0,10x,official-10x-20260411-r1,3.0660290718078613,0.31217634677886963,9.8214650259191014
mia_REC-000080,REC-000080,non_member,0,0,10x,official-10x-20260411-r1,3.1082470417022705,0.32582086324691772,9.5397422090393853
mia_REC-000081,REC-000081,member,1,0,10x,official-10x-20260411-r1,3.1063048839569092,0.3176235556602478,9.7798315918345438
mia_REC-000082,REC-000082,member,1,0,10x,official-10x-20260411-r1,3.0903935432434082,0.32616424560546875,9.4749611120207717
mia_REC-000083,REC-000083,member,1,0,10x,official-10x-20260411-r1,3.0675570964813232,0.33241549134254456,9.2280810502910473
mia_REC-000084,REC-000084,member,1,0,10x,official-10x-20260411-r1,3.0864050388336182,0.32626587152481079,9.4597851268023696
mia_REC-000085,REC-000085,member,1,0,10x,official-10x-20260411-r1,3.1243090629577637,0.32512292265892029,9.6096240689722503
mia_REC-000086,REC-000086,member,1,0,10x,official-10x-20260411-r1,3.0480504035949707,0.3294951319694519,9.2506690019249245
mia_REC-000087,REC-000087,member,1,0,10x,official-10x-20260411-r1,3.0794186592102051,0.31262552738189697,9.8501830128812546
mia_REC-000088,REC-000088,member,1,0,10x,official-10x-20260411-r1,3.0287878513336182,0.33105814456939697,9.148809358770265
mia_REC-000089,REC-000089,non_member,0,0,10x,official-10x-20260411-r1,3.1236922740936279,0.3567291796207428,8.7564809736466938
mia_REC-000090,REC-000090,member,1,0,10x,official-10x-20260411-r1,3.1096174716949463,0.32266652584075928,9.6372484365781048
mia_REC-000091,REC-000091,member,1,0,10x,official-10x-20260411-r1,3.1049799919128418,0.31661739945411682,9.8067257114301629
mia_REC-000092,REC-000092,member,1,0,10x,official-10x-20260411-r1,3.0801429748535156,0.34523257613182068,8.9219360738351057
mia_REC-000093,REC-000093,member,1,0,10x,official-10x-20260411-r1,3.0683219432830811,0.31794968247413635,9.650338127111274
mia_REC-000094,REC-000094,member,1,0,10x,official-10x-20260411-r1,3.0930204391479492,0.31519803404808044,9.8129433087648597
mia_REC-000095,REC-000095,member,1,0,10x,official-10x-20260411-r1,3.1137208938598633,0.31346961855888367,9.9330866837258327
mia_REC-000096,REC-000096,member,1,0,10x,official-10x-20260411-r1,3.0689988136291504,0.32142212986946106,9.5481876586268672
mia_REC-000097,REC-000097,non_member,0,0,10x,official-10x-20260411-r1,3.080111026763916,0.32818487286567688,9.3852925025724083
mia_REC-000098,REC-000098,member,1,0,10x,official-10x-20260411-r1,3.0928311347961426,0.3335091769695282,9.2736012930724421
mia_REC-000099,REC-000099,member,1,0,10x,official-10x-20260411-r1,3.0893008708953857,0.31866559386253357,9.6944914367757349
mia_REC-000100,REC-000100,member,1,0,10x,official-10x-20260411-r1,3.0887496471405029,0.31172320246696472,9.9086292669145699
mia_REC-000101,REC-000101,member,1,0,10x,official-10x-20260411-r1,3.0786280632019043,0.31213927268981934,9.8629949274637241
mia_REC-000102,REC-000102,member,1,0,10x,official-10x-20260411-r1,3.1228451728820801,0.33426320552825928,9.342473599350642
mia_REC-000103,REC-000103,member,1,0,10x,official-10x-20260411-r1,3.1100590229034424,0.31721433997154236,9.8042825654806443
mia_REC-000104,REC-000104,member,1,0,10x,official-10x-20260411-r1,3.032973051071167,0.32840210199356079,9.2355470097771679
mia_REC-000105,REC-000105,member,1,0,10x,official-10x-20260411-r1,3.0911130905151367,0.34170693159103394,9.0460941957556837
mia_REC-000106,REC-000106,non_member,0,0,10x,official-10x-20260411-r1,3.0992867946624756,0.31691190600395203,9.7796477063371245
mia_REC-000107,REC-000107,member,1,0,10x,official-10x-20260411-r1,3.1361215114593506,0.32915472984313965,9.5278032703764737
mia_REC-000108,REC-000108,member,1,0,10x,official-10x-20260411-r1,3.0955617427825928,0.32963398098945618,9.3909060391489465
mia_REC-000109,REC-000109,member,1,0,10x,official-10x-20260411-r1,3.0889337062835693,0.3061230480670929,10.090497026563543
mia_REC-000110,REC-000110,member,1,0,10x,official-10x-20260411-r1,3.0381612777709961,0.32710537314414978,9.2880200914099014
mia_REC-000111,REC-000111,member,1,0,10x,official-10x-20260411-r1,3.1454181671142578,0.34439095854759216,9.1332774251086661
mia_REC-000112,REC-000112,member,1,0,10x,official-10x-20260411-r1,3.0663378238677979,0.30871656537055969,9.9325341359223831
mia_REC-000113,REC-000113,member,1,0,10x,official-10x-20260411-r1,3.0685062408447266,0.33990654349327087,9.0274997630502334
