eval_dataset,exposure_condition,filter_mode,threshold,row_count,benign_count,adaptive_adversarial_count,benign_false_positive_count,benign_false_positive_rate,benign_allow_rate,adaptive_block_count,adaptive_block_rate,adaptive_allow_count,adaptive_any_sensitive_field_leak_count,adaptive_any_sensitive_field_leak_rate,adaptive_full_canary_record_leak_count,adaptive_full_canary_record_leak_rate,leak_rate_given_allowed,original_adaptive_block_count,newly_allowed_adaptive_count,newly_blocked_adaptive_count,original_benign_false_positive_count,newly_allowed_benign_count,newly_blocked_benign_count
mixed_traffic,1x,plaintext_filter,0.45,700,350,350,98,0.28,0.72,215,0.6142857142857143,135,0,0,0,0,0,224,9,0,110,12,0
adaptive,1x,plaintext_filter,0.46,350,0,350,,,,213,0.6085714285714285,137,0,0,0,0,0,224,11,0,,,
mixed_traffic,1x,plaintext_filter,0.46,700,350,350,95,0.2714285714285714,0.7285714285714285,213,0.6085714285714285,137,0,0,0,0,0,224,11,0,110,15,0
adaptive,1x,plaintext_filter,0.47,350,0,350,,,,213,0.6085714285714285,137,0,0,0,0,0,224,11,0,,,
mixed_traffic,1x,plaintext_filter,0.47,700,350,350,91,0.26,0.74,213,0.6085714285714285,137,0,0,0,0,0,224,11,0,110,19,0
adaptive,1x,plaintext_filter,0.48,350,0,350,,,,210,0.6,140,0,0,0,0,0,224,14,0,,,
mixed_traffic,1x,plaintext_filter,0.48,700,350,350,90,0.2571428571428571,0.7428571428571429,210,0.6,140,0,0,0,0,0,224,14,0,110,20,0
adaptive,1x,plaintext_filter,0.49,350,0,350,,,,209,0.5971428571428572,141,0,0,0,0,0,224,15,0,,,
mixed_traffic,1x,plaintext_filter,0.49,700,350,350,88,0.2514285714285714,0.7485714285714286,209,0.5971428571428572,141,0,0,0,0,0,224,15,0,110,22,0
adaptive,1x,plaintext_filter,0.5,350,0,350,,,,205,0.5857142857142857,145,0,0,0,0,0,224,19,0,,,
mixed_traffic,1x,plaintext_filter,0.5,700,350,350,87,0.2485714285714286,0.7514285714285714,205,0.5857142857142857,145,0,0,0,0,0,224,19,0,110,23,0
adaptive,1x,plaintext_filter,0.51,350,0,350,,,,202,0.5771428571428572,148,0,0,0,0,0,224,22,0,,,
mixed_traffic,1x,plaintext_filter,0.51,700,350,350,85,0.2428571428571429,0.7571428571428571,202,0.5771428571428572,148,0,0,0,0,0,224,22,0,110,25,0
